index,predicate,xmlName
1.1.0.0.0.1,http://data.europa.eu/949/imCode,1.1.0.0.0.1
1.1.0.0.0.2,http://data.europa.eu/949/lineNationalId,1.1.0.0.0.2
1.1.0.0.0.3,http://data.europa.eu/949/opStart,1.1.0.0.0.3
1.1.0.0.0.4,http://data.europa.eu/949/opEnd,1.1.0.0.0.4
1.1.0.0.0.5,http://data.europa.eu/949/length,1.1.0.0.0.5
1.1.0.0.0.6,http://data.europa.eu/949/solNature,1.1.0.0.0.6
1.1.1.0.0.1,http://data.europa.eu/949/trackId,1.1.1.0.0.1
1.1.1.0.0.2,http://data.europa.eu/949/trackDirection,1.1.1.0.0.2
1.1.1.1.1.1,http://data.europa.eu/949/verificationINF,IDE_ECVerification
1.1.1.1.1.2,http://data.europa.eu/949/demonstrationINF,IDE_EIDemonstration
1.1.1.1.2.1,http://data.europa.eu/949/tenClassification,IPP_TENClass
1.1.1.1.2.1.2,http://data.europa.eu/949/tenGISId,IPP_TENGISID
1.1.1.1.2.2,http://data.europa.eu/949/lineCategory,IPP_LineCat
1.1.1.1.2.3,http://data.europa.eu/949/freightCorridor,IPP_FreightCorridor
1.1.1.1.2.4,http://data.europa.eu/949/loadCapability,IPP_LoadCap
1.1.1.1.2.4.1,http://data.europa.eu/949/nationalLoadCapability,IPP_NCLoadCap
1.1.1.1.2.4.2,http://data.europa.eu/949/highSpeedLoadModelCompliance,IPP_HSLMCompliant
1.1.1.1.2.4.3,http://data.europa.eu/949/structureCheckLocation,IPP_StructureCheckLoc
1.1.1.1.2.4.4,http://data.europa.eu/949/compatibilityProcedureDocument,IPP_StructureCheckDocRef
1.1.1.1.2.5,http://data.europa.eu/949/maximumPermittedSpeed,IPP_MaxSpeed
1.1.1.1.2.6,http://data.europa.eu/949/minimumTemperature,IPP_TempRange
1.1.1.1.2.6,http://data.europa.eu/949/maximumTemperature,IPP_TempRange
1.1.1.1.2.7,http://data.europa.eu/949/maximumAltitude,IPP_MaxAltitude
1.1.1.1.2.8,http://data.europa.eu/949/hasSevereWeatherConditions,IPP_SevereClimateCon
1.1.1.1.3.1.1,http://data.europa.eu/949/gaugingProfile,ILL_Gauging
1.1.1.1.3.1.2,http://data.europa.eu/949/gaugingCheckLocation,ILL_GaugeCheckLoc
1.1.1.1.3.1.3,http://data.europa.eu/949/gaugingTransversalDocument,ILL_GaugeCheckDocRef
1.1.1.1.3.4,http://data.europa.eu/949/profileNumberSwapBodies,ILL_ProfileNumSwapBodies
1.1.1.1.3.5,http://data.europa.eu/949/profileNumberSemiTrailers,ILL_ProfileNumSemiTrailers
1.1.1.1.3.5.1,http://data.europa.eu/949/specificInformation,ILL_SpecificInfo
1.1.1.1.3.6,http://data.europa.eu/949/gradientProfile,ILL_GradProfile
1.1.1.1.3.7,http://data.europa.eu/949/minimumHorizontalRadius,ILL_MinRadHorzCurve
1.1.1.1.4.1,http://data.europa.eu/949/wheelSetGauge,ITP_NomGauge
1.1.1.1.4.2,http://data.europa.eu/949/cantDeficiency,ITP_CantDeficiency
1.1.1.1.4.3,http://data.europa.eu/949/railInclination,ITP_RailInclination
1.1.1.1.4.4,http://data.europa.eu/949/hasBallast,ITP_Ballast
1.1.1.1.5.1,http://data.europa.eu/949/tsiSwitchCrossing,ISC_TSISwitchCrossing
1.1.1.1.5.2,http://data.europa.eu/949/minimumWheelDiameter,ISC_MinWheelDiaFixObtuseCrossings
1.1.1.1.6.1,http://data.europa.eu/949/maximumTrainDeceleration,ILR_MaxDeceleration
1.1.1.1.6.2,http://data.europa.eu/949/eddyCurrentBraking,ILR_EddyCurrentBrakes
1.1.1.1.6.3,http://data.europa.eu/949/magneticBraking,ILR_MagneticBrakes
1.1.1.1.6.4,http://data.europa.eu/949/eddyCurrentBrakingConditionsDocument,ILR_ECBDocRef
1.1.1.1.6.5,http://data.europa.eu/949/magneticBrakingConditionsDocument,ILR_MBDocRef
1.1.1.1.7.1,http://data.europa.eu/949/flangeLubeForbidden,IHS_FlangeLubeForbidden
1.1.1.1.7.2,http://data.europa.eu/949/hasLevelCrossings,IHS_LevelCrossing
1.1.1.1.7.3,http://data.europa.eu/949/accelerationLevelCrossing,IHS_AccelerationLevelCrossing
1.1.1.1.7.4,http://data.europa.eu/949/hasHotAxleBoxDetector,IHS_HABDExist
1.1.1.1.7.5,http://data.europa.eu/949/hotAxleBoxDetectorTSICompliant,IHS_TSIHABD
1.1.1.1.7.6,http://data.europa.eu/949/hotAxleBoxDetectorIdentification,IHS_HABDID
1.1.1.1.7.7,http://data.europa.eu/949/hotAxleBoxDetectorGeneration,IHS_HABDGen
1.1.1.1.7.8,http://data.europa.eu/949/hotAxleBoxDetectorLocation,IHS_HABDLoc
1.1.1.1.7.9,http://data.europa.eu/949/hotAxleBoxDetectorDirection,IHS_HABDDirection
1.1.1.1.7.10,http://data.europa.eu/949/redLightsRequired,IHS_RedLights
1.1.1.1.7.11,http://data.europa.eu/949/isQuietRoute,IHS_QuietRoute
1.1.1.1.8.1,http://data.europa.eu/949/imCode,1.1.1.1.8.1
1.1.1.1.8.2,http://data.europa.eu/949/tunnelIdentification,1.1.1.1.8.2
1.1.1.1.8.3,http://data.europa.eu/949/startLocation,1.1.1.1.8.3
1.1.1.1.8.4,http://data.europa.eu/949/endLocation,1.1.1.1.8.4
1.1.1.1.8.5,http://data.europa.eu/949/verificationSRT,1.1.1.1.8.5
1.1.1.1.8.6,http://data.europa.eu/949/demonstrationSRT,1.1.1.1.8.6
1.1.1.1.8.7,http://data.europa.eu/949/length,1.1.1.1.8.7
1.1.1.1.8.8,http://data.europa.eu/949/crossSectionArea,ITU_CrossSectionArea
